,open,high,low,close,adjclose,volume,ticker
2017-01-03,6.690000057220459,6.690000057220459,6.679999828338623,6.679999828338623,4.899918556213379,22200,FT
2017-01-04,6.670000076293945,6.739999771118164,6.670000076293945,6.71999979019165,4.929260730743408,86700,FT
2017-01-05,6.730000019073486,6.739999771118164,6.710000038146973,6.730000019073486,4.936596870422363,27500,FT
2017-01-06,6.730000019073486,6.860000133514404,6.71999979019165,6.820000171661377,5.002614498138428,101700,FT
2017-01-09,6.809999942779541,6.849999904632568,6.789999961853027,6.800000190734863,4.98794412612915,58000,FT
2017-01-10,6.840000152587891,6.840000152587891,6.78000020980835,6.809999942779541,4.99527645111084,45400,FT
2017-01-11,6.829999923706055,6.829999923706055,6.769999980926514,6.789999961853027,4.9806084632873535,23000,FT
2017-01-12,6.78000020980835,6.869999885559082,6.78000020980835,6.809999942779541,4.99527645111084,39900,FT
2017-01-13,6.840000152587891,6.849999904632568,6.78000020980835,6.829999923706055,5.009949207305908,39300,FT
2017-01-17,6.869999885559082,6.869999885559082,6.809999942779541,6.860000133514404,5.031952381134033,65700,FT
2017-01-18,6.840000152587891,6.860000133514404,6.829999923706055,6.829999923706055,5.009949207305908,27500,FT
2017-01-19,6.829999923706055,6.849999904632568,6.760000228881836,6.78000020980835,4.973273277282715,32700,FT
2017-01-20,6.769999980926514,6.809999942779541,6.769999980926514,6.809999942779541,4.99527645111084,42100,FT
2017-01-23,6.800000190734863,6.829999923706055,6.789999961853027,6.800000190734863,4.98794412612915,38300,FT
2017-01-24,6.78000020980835,6.820000171661377,6.78000020980835,6.800000190734863,4.98794412612915,45400,FT
2017-01-25,6.829999923706055,6.869999885559082,6.809999942779541,6.809999942779541,4.99527645111084,115200,FT
2017-01-26,6.800000190734863,6.880000114440918,6.800000190734863,6.880000114440918,5.046625137329102,93500,FT
2017-01-27,6.869999885559082,6.869999885559082,6.829999923706055,6.849999904632568,5.048099040985107,45800,FT
2017-01-30,6.829999923706055,6.829999923706055,6.800000190734863,6.829999923706055,5.033360004425049,30000,FT
2017-01-31,6.820000171661377,6.889999866485596,6.820000171661377,6.889999866485596,5.077578544616699,34900,FT
